uniprotkb	uniprotkb	proteinName	proteinName	PubmedID	Evidence
P04637	Q9H3D4	TP53	TP63	19345189, 11238924	PINA
P04637	P40337	TP53	VHL	16678111	PINA
P04637	Q9H422	TP53	HIPK3	10961991	PINA
P04637	Q9H4B4	TP53	PLK3	12242661, 11551930	PINA
P04637	Q05086	TP53	UBE3A	16493710, 12620801, 9369221	PINA
P04637	Q9H2X6	TP53	HIPK2	16343438, 16212962, 11740489, 11925430, 15896780	PINA
P04637	Q5JYX0	TP53	CDC42	16169070	PINA
P62805	Q12888	HIST1H4A	TP53BP1	16415788, 17190600	PINA
O96017	P04637	CHEK2	TP53	17157788, 12810724, 18833288, 15862297	PINA
P04637	Q5VWQ8	TP53	DAB2IP	20308539	PINA
P04637	P68133	TP53	ACTA1	11821948	PINA
P04637	Q8TAF3	TP53	WDR48	19615732	PINA
P04637	Q8TAQ5	TP53	ZNF420	19377469	PINA
O14641	P04637	DVL2	TP53	16189514, 16713569	PINA
P68104	Q13625	EEF1A1	TP53BP2	16169070	PINA
P04637	Q9H0E9	TP53	BRD8	20308539	PINA
P04637	Q9H0F5	TP53	RNF38	20308539	PINA
P04637	Q9H0Q3	TP53	FXYD6	16169070	PINA
P12830	Q96QZ7	CDH1	MAGI1	10772923	PINA
P04637	Q9H160	TP53	ING2	16782091, 16024799	PINA
O60341	P04637	KDM1A	TP53	17805299, 18573881	PINA
P04637	P17676	TP53	CEBPB	16227626	PINA
P04637	Q8TBK6	TP53	ZCCHC10	16169070	PINA
P04637	Q5JVS0	TP53	HABP4	16455055	PINA
O15111	P04637	CHUK	TP53	11805286	PINA
Q12888	Q6PJP8	TP53BP1	DCLRE1A	12446782	PINA
Q12888	Q5IJ48	TP53BP1	CRB2	17190600	PINA
P04637	P29034	TP53	S100A2	20591429, 15941720	PINA
O00308	Q13625	WWP2	TP53BP2	9169421	PINA
P04637	P17844	TP53	DDX5	15660129	PINA
Q5T4Y8	Q8N8V2	MAGI1	GBP7	16169070	PINA
P04637	Q8TDN4	TP53	CABLES1	14637168, 11706030	PINA
